goal_id,customer_id,goal_name,target_amount,duration_months,monthly_required,start_date
GOAL4900C8,CUSTBA612D,Emergency Fund,53500.0,12,4458.33,2026-01-01
GOALC08378,CUST2BB24A,New Car,75700.0,12,6308.33,2026-01-01
GOALCA0524,CUST745341,Emergency Fund,43300.0,11,3936.36,2026-01-01
GOALA34E8D,CUST745341,New Car,107900.0,13,8300.0,2026-01-01
GOAL473BFD,CUST49FDED,Wedding,158900.0,14,11350.0,2026-01-01
GOAL114A4F,CUST227A60,Wedding,87600.0,22,3981.82,2026-01-01
GOAL939956,CUST788902,Home Down Payment,711900.0,47,15146.81,2026-01-01
GOAL618EBD,CUST788902,New Car,278000.0,29,9586.21,2026-01-01
GOAL316265,CUST1EB859,New Car,172100.0,15,11473.33,2026-01-01
GOAL90A0A5,CUST1EB859,Wedding,122100.0,18,6783.33,2026-01-01
GOAL202936,CUST82BFDD,Wedding,318600.0,21,15171.43,2026-01-01
GOAL4909E1,CUST04F1D1,Wedding,155000.0,23,6739.13,2026-01-01
GOAL11E1FC,CUST04F1D1,New Car,71600.0,20,3580.0,2026-01-01
GOAL5FD644,CUST012A31,Wedding,239900.0,24,9995.83,2026-01-01
GOALFB7792,CUST012A31,New Car,276600.0,22,12572.73,2026-01-01
GOAL3C26E7,CUST6C460D,Home Down Payment,361000.0,47,7680.85,2026-01-01
GOALB174D8,CUST906438,Vacation,37800.0,9,4200.0,2026-01-01
GOAL97B424,CUST299D9D,Emergency Fund,76100.0,7,10871.43,2026-01-01
GOAL8B0E1F,CUST299D9D,New Car,117600.0,29,4055.17,2026-01-01
GOALF6D3E2,CUSTD00ECD,Vacation,48100.0,7,6871.43,2026-01-01
GOAL634568,CUSTD00ECD,New Car,75100.0,18,4172.22,2026-01-01
GOAL8205B8,CUST61A288,New Car,30600.0,27,1133.33,2026-01-01
GOAL026F5D,CUST61A288,Emergency Fund,12000.0,12,1000.0,2026-01-01
GOALB7E144,CUST84D12A,Vacation,52800.0,8,6600.0,2026-01-01
GOALC8B69E,CUST84D12A,Emergency Fund,81100.0,12,6758.33,2026-01-01
GOALA1EDF7,CUST11F3A5,Wedding,250700.0,24,10445.83,2026-01-01
GOAL06646B,CUSTC38A3C,New Car,90700.0,34,2667.65,2026-01-01
GOAL57FA25,CUSTC38A3C,Wedding,216700.0,19,11405.26,2026-01-01
GOAL294F0A,CUST00E195,Home Down Payment,110200.0,41,2687.8,2026-01-01
GOAL5F4D70,CUST00E195,Wedding,72600.0,16,4537.5,2026-01-01
GOAL70BAA3,CUSTFFBD20,Emergency Fund,28200.0,8,3525.0,2026-01-01
GOAL662EEC,CUST9C094C,Emergency Fund,27800.0,9,3088.89,2026-01-01
GOAL44E12A,CUST8A117D,Home Down Payment,387800.0,51,7603.92,2026-01-01
GOAL77F4A5,CUSTD37AE3,Home Down Payment,312400.0,47,6646.81,2026-01-01
GOALFB1925,CUST0B8EBF,Home Down Payment,239100.0,38,6292.11,2026-01-01
